gene_name	logFC	lfcSE	stat	pvalue	padj
IL6R	-1.83677390785231	0.108583351175341	-16.9157968322996	3.44130490297998e-64	2.04413511237011e-61
HLA-DQA1	-8.37710363377748	0.548802712685642	-15.2643262143931	1.32186135308366e-52	1.96296410932924e-50
HLA-DQB1	-6.49907063150726	0.432652903702806	-15.0214423060282	5.31387615378592e-51	6.31288487069767e-49
ITGB2	1.00834688363817	0.0856495873690881	11.7729333510145	5.38199697799684e-32	3.99613275616266e-30
CD19	-1.51723538072082	0.135471440851438	-11.1996696217668	4.09256870428672e-29	2.43098581034631e-27
CD22	-1.5016939567872	0.145944682976863	-10.2894735605084	7.86049466658989e-25	3.890944859962e-23
MS4A1	-1.41175503646248	0.141037024526591	-10.0098186359306	1.38005302184698e-23	6.30578073059313e-22
CCR5	1.47099515493788	0.151331001197598	9.7203820981608	2.46853416892145e-22	1.04736378309953e-20
ZAP70	1.02757846144387	0.107145260422004	9.59051718570313	8.76445687227105e-22	3.47072492141934e-20
TUBB	1.07899439467881	0.128389858776768	8.40404690026852	4.31350299258977e-17	1.3655405007693e-15
PAX5	-1.15618445782393	0.139535766520938	-8.28593619149566	1.17183601193496e-16	3.48035295544684e-15
POLR1B	1.01622797171847	0.122921645918813	8.26728249627948	1.37046957658282e-16	3.87647108804856e-15
TNFRSF13C	-1.21957672800395	0.15150974379	-8.04949369919298	8.31372384068809e-16	2.0576466505703e-14
ZBTB16	1.30502060478436	0.165853103328279	7.86853292820985	3.58824117121527e-15	7.8941305766736e-14
CD79A	-1.08482073406675	0.139618825728251	-7.76987435905099	7.85640150500374e-15	1.50538790128136e-13
IRF5	1.06712343978777	0.140062132593264	7.61892897123497	2.55789158524851e-14	4.74808625511754e-13
AICDA	-1.47935060084136	0.196267919536946	-7.53740399516937	4.79419336673818e-14	8.37573782306611e-13
IL1RL2	-1.30361041499839	0.174516924813009	-7.46982229027463	8.03031956692317e-14	1.32500272854232e-12
CX3CR1	1.08748743317438	0.147420204904562	7.37678687855853	1.6215526328816e-13	2.60324936197748e-12
CCR1	2.00008685754556	0.273581973581597	7.3107406579514	2.65673861977514e-13	3.94525685036608e-12
IL12B	-1.55306578010388	0.219473594964174	-7.0763217796537	1.48030914850609e-12	2.09358008145862e-11
IL1RAP	-1.192449670751	0.16977239358401	-7.02381374013512	2.1589257536596e-12	2.98232999459023e-11
FCER1A	-1.77639827276831	0.255371360436602	-6.95613740605542	3.4972877258458e-12	4.72133842989182e-11
C4BPA	-2.69329352128528	0.390335845274842	-6.89993899839994	5.20248746517917e-12	6.8672834540365e-11
HLA-DRA	-1.52035031751648	0.221779123062585	-6.85524541950439	7.11901950550441e-12	8.99722890695664e-11
LAG3	1.31297159653902	0.205224112779342	6.39774526861146	1.57688062488937e-10	1.87333418236857e-09
