gene_name	logFC	lfcSE	stat	pvalue	padj	new
SNORA74B	-5.81610635366269	0.310986952843936	-18.7020911986022	4.76007807570405e-78	8.06119222120481e-74	ENSG00000212402.1
ALB	15.9549219784829	0.985930233361427	16.1826074894633	6.69001888485544e-59	5.66477349075135e-55	ENSG00000163631.17
APOB	14.3583057662167	0.904909267537486	15.8671220212936	1.0703768737416e-56	6.04227745227131e-53	ENSG00000084674.15
SAA2	10.594835308751	0.764095956310152	13.8658439705844	1.02019042678027e-43	2.87948747958731e-40	ENSG00000134339.9
ORM2	10.4187180011109	0.780813028123899	13.3434223377964	1.29380725743567e-40	3.13008941495331e-37	ENSG00000228278.5
VTN	10.0669112231257	0.840637012954011	11.9753366411389	4.78491433879084e-33	8.10325243274229e-30	ENSG00000109072.14
HPD	10.0902781387237	0.846254444674256	11.9234565942017	8.93241009236843e-33	1.37518513558418e-29	ENSG00000158104.11
TF	10.8767487546513	0.917630793476619	11.8530773291104	2.07430833160364e-32	2.70218550736212e-29	ENSG00000091513.16
DPYS	8.49317188811266	0.734952233320428	11.5560869170252	6.87718118991584e-31	7.76433756341498e-28	ENSG00000147647.13
APOA1	10.8087655554007	0.956241726130559	11.3033820424659	1.26259904359291e-29	1.18789526684699e-26	ENSG00000118137.10
HGD	8.68171857329563	0.769373068715189	11.2841466985498	1.57159218857741e-29	1.40078493229255e-26	ENSG00000113924.12
CYP2E1	9.03404561003583	0.81813400573011	11.0422565823722	2.38955464337931e-28	1.92700513741088e-25	ENSG00000130649.10
APOH	10.4105261906156	0.943252986880247	11.0368335276073	2.53820859285748e-28	1.95384375091098e-25	ENSG00000091583.11
BAAT	9.84136759396999	0.897861560109087	10.9608964579955	5.89128739540256e-28	4.33778052352793e-25	ENSG00000136881.12
CEACAM1	3.96538224679653	0.362612317160303	10.9355972181262	7.78914137814603e-28	5.49621288495429e-25	ENSG00000079385.23
GDA	8.20135768494476	0.750964722754668	10.921095807085	9.13865013344807e-28	6.19052160039772e-25	ENSG00000119125.17
SNORD17	-6.08161983668752	0.560130610151666	-10.8575031010014	1.83703520001386e-27	1.19654581200903e-24	ENSG00000212232.1
IGF1	3.25019054669869	0.301199410724035	10.7908263793935	3.80353867760528e-27	2.38566398167575e-24	ENSG00000017427.17
ABCB4	8.67460649881549	0.808007379693272	10.7358010790798	6.91168924613248e-27	4.18033776368763e-24	ENSG00000005471.19
RPS2P36	4.80020189225162	0.45983990408083	10.4388545875476	1.64786956129616e-25	9.00215194211306e-23	ENSG00000227032.1
SLC39A14	5.72096984654933	0.551160031457145	10.3798706728141	3.06189685711853e-25	1.62041322735319e-22	ENSG00000104635.15
RN7SKP9	-4.04319506403047	0.391441497938987	-10.3289893517132	5.21066768829678e-25	2.67401991822139e-22	ENSG00000201793.1
BHMT2	7.15801860497455	0.69739592139664	10.2639238133764	1.02456966558382e-24	4.95745351047487e-22	ENSG00000132840.10
ARG1	7.69292272698106	0.756864676704154	10.1641983881196	2.86468701610568e-24	1.34759651715971e-21	ENSG00000118520.15
CAV1	-3.50463383239295	0.346333952521039	-10.1192326275895	4.53960725880775e-24	2.07779051156512e-21	ENSG00000105974.13
EMP2	-2.76684862954413	0.27394184193422	-10.1001315096966	5.51681574504886e-24	2.45861249058954e-21	ENSG00000213853.10
TFR2	9.21256967642749	0.914895168609426	10.069535824995	7.53327698861719e-24	3.27118066159569e-21	ENSG00000106327.13
PROC	10.0232914772489	0.997216795043157	10.0512662111904	9.06944926394098e-24	3.83977808212101e-21	ENSG00000115718.18
FOSB	-5.78737369564895	0.578942157943136	-9.99646271435875	1.57938070607296e-23	6.52361274569405e-21	ENSG00000125740.14
HIRIP3	-2.06375835767491	0.207143465123404	-9.96294213986157	2.21411495307393e-23	8.92762779293026e-21	ENSG00000149929.16
SLC38A4	8.99690839282465	0.906560730525133	9.92422028650316	3.26645647044583e-23	1.28645210062791e-20	ENSG00000139209.16
UPB1	5.70230501944962	0.578852449822515	9.85105102552133	6.78308947278098e-23	2.61071864139877e-20	ENSG00000100024.15
SLC51A	7.5966846296295	0.771622938786333	9.8450736075552	7.19865141333492e-23	2.70909248188504e-20	ENSG00000163959.10
LMO7	-2.2888724652949	0.233260149888427	-9.81253105766118	9.94424199391089e-23	3.50845287847668e-20	ENSG00000136153.20
PLAC9	-4.34523491277443	0.444517131068697	-9.77517987288302	1.43901489209315e-22	4.97341167297908e-20	ENSG00000189129.14
PTPN21	-1.8252992211924	0.187694522796587	-9.72484009653578	2.36276334276152e-22	7.8457641587581e-20	ENSG00000070778.13
CYP2C18	6.37958343221077	0.661158958648409	9.6490917180528	4.95930215433275e-22	1.58463739591745e-19	ENSG00000108242.13
LEAP2	7.58519714516219	0.788026615806409	9.6255595851925	6.23665312601808e-22	1.95588371646511e-19	ENSG00000164406.8
AK4	4.32251239282948	0.449727823045869	9.6113964298549	7.15716488084031e-22	2.13147635326074e-19	ENSG00000162433.15
PDCL	-1.76863129582447	0.184389546234343	-9.59181977473221	8.65448940578628e-22	2.52696169115501e-19	ENSG00000136940.14
TMEM87A	-1.50480729329013	0.157095218337793	-9.57895032842073	9.80361947087616e-22	2.81397111422522e-19	ENSG00000103978.16
C4BPB	6.32918191349437	0.66333917172693	9.54139629206135	1.40921982069242e-21	3.91231764974198e-19	ENSG00000123843.13
AGMAT	6.7000870947882	0.703050498375236	9.53002253788632	1.57249086892892e-21	4.29518272021149e-19	ENSG00000116771.6
LIMCH1	-2.04287639709169	0.215967886990384	-9.45916740474779	3.10404884705032e-21	8.34397892457097e-19	ENSG00000064042.18
FNDC4	6.08444398276021	0.646360374987777	9.41339261843715	4.80375875496352e-21	1.27111960180168e-18	ENSG00000115226.10
CAB39L	-1.94001415047496	0.207257884417872	-9.36038769248227	7.94446425269891e-21	2.06983849414548e-18	ENSG00000102547.19
TDO2	5.68753154021374	0.610900191458031	9.31008308679582	1.27732389520855e-20	3.27749699475103e-18	ENSG00000151790.9
